English,Turkish
diagram,"['şema', 'diyagram']"
dial,"['gösterge', 'telefon etmek']"
diameter,['çap']
diamond,"['elmas', 'iskambil kartlarında karo sembollü kart']"
diary,"['günlük', 'ajanda']"
dice,['zarlar  tavla ']
dictator,['diktatör']
dictionary,['sözlük']
die,['ölmek']
diet,"['rejim', 'diyet']"
difference,"['ayırım', 'fark']"
different,['farklı']
difficult,['zor']
dig,['kazmak']
digest,"['özet', 'sindirmek', 'kavramak']"
dim,"['kısık', 'sönük']"
dinner,['akşam yemeği']
dip,['daldırmak']
diploma,['diploma']
diplomat,['diplomat']
direct,"['direkt', 'yönlendirmek', 'yol vermek']"
direction,['yön']
director,['direktör']
directory,['rehber telefon']
dirt,['kir']
dirty,['kirli']
disadvantage,['dezavantaj']
disagree,"['anlaşamamak', 'uyuşmamak']"
disappear,['gözden kaybolmak']
disappoint,['hayal kırıklığına uğramak']
disaster,"['felaket', 'afet']"
disc,['disk']
discipline,['disiplin']
disc-jockey,['discokey']
disclose,"['açığa', 'meydana çıkarmak', 'bilinmesini sağlamak']"
disco,['disko']
discover,['keşfetmek']
discuss,['tartışmak']
disease,['hastalık']
disgust,['tiksinti']
dish,"['tabak çanak', 'bulaşık', 'özel yemek']"
dismay,"['süpriz', 'üzüntü']"
dismiss,"['kovmak', 'yol vermek', 'sal vermek']"
disobey,['itaat etmemek']
dispatch,"['sevk etmek', 'yollamak']"
displace,['yerinden çıkarmak']
display,['göstermek']
dispose,"['atmak', 'bırakmak', 'ortaya çıkarmak']"
dispute,['anlaşmazlık']
distance,['uzaklık']
distant,['uzak']
distinct,"['açık', 'özel', 'farklı']"
distinction,['küçük farklılık']
distinguish,['ayırt etme']
distribute,['dağıtmak']
district,"['bölge toprak', 'ülke']"
disturb,['rahatsız etmek']
dive,['dalış']
diver,['dalgıç']
divide,"['bölmek', 'paylaştırmak']"
division,['bölüm']
divorce,['boşanmak']
dizzy,['baş dönmesi']
do,['yapmak']
dock,"['tersane', 'sanık iskemlesi']"
doctor,['doktor']
document,['doküman']
dog,['köpek']
doll,['oyuncak bebek']
domestic,"['evcil', 'eve ait', 'içsel']"
dominate,['hakim olma']
donate,['bağış yapmak']
donation,['bağış']
donkey,['eşek']
donor,"['bağış yapan', 'iyilik sever', 'okul bağışı']"
doom,"['kötü kader', 'kör talih']"
doomsday,['ahiret günü']
door,['kapı']
dose,['doz']
double,['çift']
doubt,"['şüphe', 'emin olmamak']"
down,['aşağısı']
down payment,['peşin ödeme']
doze,"['uyuklamak', 'hafif uyku']"
dozen,['düzine']
draft,"['taslak', 'banka çeki', 'ödeme emri']"
drag,['sürüklemek']
dragon,['ejderha']
drain,"['lağım', 'su yolu']"
drama,['dram']
draught,"['hava akımı', 'ceryan']"
draughts,['dama oyunu']
draw,"['çizmek resim', 'bir nesneyi çekmek']"
drawer,"['çekmece', 'göz']"
drawn,['boğulmak']
dreadful,"['korkunç', 'kötü']"
dreadfully,['çok']
dream,"['düş', 'hayal', 'rüya']"
dress,"['giysi', 'giyinmek']"
drill,"['delmek', 'tekrar tekrar öğretmek']"
drink,['içmek']
drive,['sürmek']
drop,"['düşmek', 'bırakmak', 'damla']"
drug,"['uyuşturucu', 'ilaç']"
drum,"['davul', 'makara', 'varil']"
drunk,['sarhoş']
dry,"['kuru', 'kurumak']"
duck,"['ördek', 'başını eğmek']"
duckling,['küçük ördek']
due,"['kadar', 'vade borç ']"
duel,['düello']
dull,"['aptal', 'kapalı', 'sıkıcı']"
dust,['toz']
dustbin,['çöp tenekesi']
duty,"['görev', 'gümrük vergisi']"
dye,"['boya', 'boyamak saç', 'kağıt']"
dynamite,['dinamit']
dynamo,['dinamo']
dynasty,['hanedanlık']
e.g.,['örnek']
each,"['her', 'her biri']"
eager,['istekli']
eagle,['kartal']
ear,['kulak']
early,['erken']
earn,['para kazanmak']
earnest,['ciddi']
earth,"['dünya', 'toprak', 'toprak parçası']"
earthquake,['deprem']
ease,['kolaylık']
east,['doğu']
easy,['kolay']
eat,['yemek yemek']
echo,"['eko', 'akis']"
economical,['ekonomik']
edge,['kenar']
editor,['editör']
educate,['eğitim']
eel,['yılan balığı']
effect,['etki']
efficient,"['etkin', 'iyi çalışan']"
effort,['efor']
egg,['yumurta']
elapse,['zamanın geçmesi']
elastic,['elastik']
elbow,['dirsek']
elder,['çok yaşlı']
elect,['seçmek']
election,['seçim']
electricity,['elektrik']
elegant,['şık']
elementary,"['temel', 'başlangıç için']"
elephant,['fil']
else,"['daha', 'başka']"
elsewhere,['başka bir yer']
embark,"['gemi ya da uçakla gitmek', 'birşey yapmaya başlamak']"
embarrassme nt,"['sıkıntı', 'utanmak']"
embassy,['büyükelçilik']
embrace,['sarılmak']
emerge,['çıkmak']
emergency,['acil durum']
emigrate,['göçmen']
emotion,['kuvvetli duygu']
emphasis,"['önemli', 'şiddetli vurgu']"
emphasize,['üzerinde durmak']
emphatic,"['kesinlikle', 'mutlak', 'kesin']"
empire,['imparatorluk']
employ,['görevlendirmek']
employee,['çalıştırılan adam']
employer,['işveren']
employment,['iş']
empty,['boş']
enclose,"['kapatmak', 'etrafını kapatmak']"
encourage,['cesaretlendirmek']
end,"['son', 'bitirmek']"
endorsement,"['tastik', 'onay', 'ciro']"
enemy,['düşman']
energy,['enerji']
engage,"['nişanlamak', 'iş vermek']"
engine,['makine']
enjoy,['eğlenmek']
enormous,"['kocaman', 'iri']"
enough,['yeter']
enter,['girmek']
enterprise,['girişim']
entertain,['ağırlamak']
entertainmen t,['eğlence']
entitle,"['yetki vermek', 'hak vermek']"
entrance,['giriş']
envelope,['zarf']
epitaph,['mezar taşı yazısı']
equal,['eşit']
equality,['eşitlik']
equalize,['eşitlemek']
equip,['donatmak']
equipment,"['tesisat', 'donanım']"
erect,['kaldırmak']
error,['hata']
escalator,['yürüyen merdiven']
escape,['kaçmak']
escort,"['konvoy', 'refakat']"
especial,"['özel', 'önemli']"
essential,"['temel', 'çok önemli']"
establish,"['kurmak', 'inşa etmek']"
estate,"['mal', 'mülk', 'arsa']"
estimate,['tahmin etmek']
evacuate,"['boşaltma', 'tahliye etmek', 'tehlikeden uzaklaştırmak']"
even,"['hatta', 'çift', 'dengeli']"
evening,['akşam']
event,['olay']
eventually,"['sonunda', 'nihai']"
ever,['herhangi bir zaman']
every,['her']
evidence,['delil']
evil,['kötü']
evolution,['evrim']
ex,"['eski', 'önceki', 'sabık']"
exact,['tam']
exactly,['kesinlikle']
exaggerate,['abartmak']
examine,"['incelemek', 'sınav vermek']"
example,['örnek']
exceed,['aşırı']
excellent,['çok iyi']
except,"['dışında', 'hariç']"
exception,['istisna']
exchange,['takas']
excite,['heyecanlandırmak']
exclaim,['bağırmak']
exclude,['dışlamak']
exclusive,"['hususi', 'başkalarıyla paylaşılmayan']"
excuse,"['mazeret', 'bağışlamak', 'izin']"
execute,"['yapmak', 'yerine getirmek', 'infaz etmek']"
exercise,['egzersiz']
exhaust,"['yorulma', 'bitme', 'egzos']"
exhibit,"['teşhir etmek', 'göstermek']"
exhibition,['sergi']
exist,"['oluş', 'var olmak']"
exit,"['çıkış', 'çıkmak']"
expand,"['büyümek', 'genişlemek', 'daha samimi ve konuşkan olmak']"
expansion,"['genişleme', 'büyüme', 'genişleyen kısım']"
expect,"['ummak', 'beklemek']"
expense,['masraf']
expensive,['pahalı']
experience,['tecrübe']
experiment,['deney']
expert,"['bilirkişi', 'uzman', 'eksper']"
expire,['sürenin dolması']
explain,['açıklamak']
explanation,['açıklama']
explode,['patlama']
explore,['araştırmak']
explosive,['patlayıcı madde']
export,"['ihraç malı', 'ihracat']"
express,['ifade etmek']
expression,['ifade']
extend,"['genişletmek', 'büyütmek']"
extension,"['genişletme', 'büyütme']"
extent,"['boyut', 'büyüklük']"
extinguish,['söndürmek']
extra,"['fazla', 'ekstra']"
extract,['çekip çıkartmak']
extraordinary,['olağandışı']
extreme,"['son derece', 'aşırı']"
eye,['göz']
eyebrow,['kaş']
eyelash,['kirpik']
eyelid,['göz kapağı']
fable,"['masal', 'efsane']"
fabulous,"['harika', 'inanılmaz']"
face,"['yüz', 'yüzleşmek', 'cephe']"
fact,['gerçek']
factory,['fabrika']
fade,['solmak']
fail,['başarısız olmak']
failure,"['başarısızlık', 'arıza', 'yetersizlik']"
faint,"['solgun', 'zayıf', 'bayılmak']"
fair,"['adil', 'makul', 'fuar']"
fairly,"['dürüstçe', 'epeyce']"
faith,"['inanç', 'güvenmek']"
faithful,"['güvenilir', 'sadık']"
fake,"['taklit', 'sahte']"
fall,"['düşmek', 'sonbahar']"
false,"['yanlış', 'hatalı', 'sahte']"
fame,"['şöhret', 'ün']"
familiar,"['tanıdık', 'bildik']"
family,"['aile', 'familya']"
famous,['ünlü']
fan,"['hava hareketi', 'taraftar']"
fanatic,['fanatik']
fancy,"['hayal kurma', 'hoş zevkli', 'fantazi']"
fantastic,"['harika', 'olağan dışı']"
far,['uzak']
fare,['taşıt ücreti']
farm,['çiftlik']
farther,['daha uzak']
fashion,['moda']
fast,['hızlı']
fasten,['bağlamak']
fat,"['şişman', 'vücuttaki yağ']"
fate,['kader']
father,['baba']
fault,['kusur']
faultless,['kusu rsuz']
faulty,['kusurlu']
favour,"['lehinde', 'taraf tutmak']"
favourable,"['iyi', 'yardımcı']"
favourite,"['en sevilen', 'favori']"
fear,['korku']
fearful,['korkutucu']
feather,['tüy kuş tüyü']
feature,['özellik']
february,['şubat']
fed up,['bıkmak']
federal,"['federal', 'federe', 'grup içinde birleşmiş']"
fee,"['harç', 'ücret']"
feed,['beslemek']
feel,['hissetmek']
fellow,"['benzer arkadaş', 'adam']"
female,['dişi']
fence,['çit']
ferry,['feribot']
fertile,"['gübre', 'üretken']"
fertilize,"['gübreleme', 'döllenme']"
festival,['festival']
fetch,['getirmek']
fever,['ateş']
few,"['az', 'bir kaç']"
fiance,['nişanlı']
fiction,['kurgu']
field,['alan']
fig,"['incir', 'çok önemsiz konu']"
fight,"['kavga', 'kavga etmek']"
figure,"['sayı', 'şekil', 'vücut']"
file,"['dosya', 'törpü', 'sıra']"
fill,['doldurmak']
film,['film']
final,['son']
finally,['sonunda']
finance,['finans']
find,['bulmak']
fine,"['iyi', 'ince', 'para cezası']"
finger,['parmak']
finish,"['bitim', 'bitmek']"
fire,"['yangın', 'ateş', 'işten kovmak']"
fire- brigade,['itfaiye']
firm,"['sert', 'firma']"
first,"['birinci', 'ilk']"
fiscal,"['devlete ait', 'mali', 'vergi']"
fish,['balık']
fist,['yumruk']
fit,"['uymak', 'uygun', 'ani hastalık']"
fix,"['yapıştırmak', 'tamir etmek', 'sabit']"
flag,['bayrak']
flake,['tane']
flame,['alev']
flash,['flaş']
flat,"['düz', 'apartman dairesi']"
flavour,['tat']
flea,['pire']
flee,['kaçmak']
fleet,['filo gemi']
flesh,['et']
flight,['uçuş']
flipper,"['yüzme paleti', 'yüzgeç']"
float,['batmadan yüzmek']
flock,['sürü']
flood,['sel']
floor,"['yapının tabanı', 'kat']"
florist,"['çiçekçi', 'çiçek yetiştiren kimse']"
flour,['un']
flower,['çiçek']
fluent,['akici']
fly,"['uçmak', 'sinek']"
foam,['köpük']
foam rubber,['sünger']
fog,['sis']
fold,['katlamak']
folk,['halk']
follow,"['izlemek', 'takip etmek']"
fond,"['hoşlanmak', 'memnun olmak']"
food,"['yiyecek', 'besin']"
fool,"['aptal', 'aptalca davranmak', 'kandırmak']"
foolish,['aptalca']
foot,['ayak']
football,['futbol']
footprint,['ayak izi']
for,['için']
forbid,['yasaklamak']
force,"['zorlamak', 'zor', 'fors']"
forecast,['tahmin']
forehead,['alın']
foreign,['yabancı']
foreman,"['ustabaşı', 'formen']"
forest,['orman']
forever,['devamli olarak']
forge,"['sahtesini yapmak', 'demir metale şekil vermek']"
forger,"['üçkağitçi', 'taklitçi']"
forget,['unutmak']
forgive,"['bağışlamak', 'affetmek']"
fork,['çatal']
form,"['şekil', 'şekillendirmek', 'form']"
formal,"['resmi', 'ciddi']"
former,['önceki zaman']
forthwith,"['derhal', 'hemen']"
fortnight,"['iki hafta', 'ondört gün']"
fortune,"['servet', 'alın yazısı', 'talih']"
forward,['ileri']
foul,"['pis', 'kirli']"
found,['inşa etmek']
foundation,"['temel', 'vakıf']"
fountain,['fıskiye']
fountain-pen,['dolma kalem']
fox,['tilki']
fragile,['kolay kirilabir']
frame,['çerçeve']
frank,"['açik sözlü', 'samimi']"
free,"['özgür', 'rahat']"
freedom,['özgürlük']
freeze,['donmak']
freight,"['hamule', 'navlun']"
fresh,['taze']
friday,['cuma']
fridge,['buzdolabı']
friend,['arkadaş']
friendly,['dostça']
fright,['korku']
frighten,['korkutmak']
frog,['kurbağa']
from,['den eki']
front,['ön']
frontier,['sınır']
frown,"['kaşını çatmak', 'memnun olmamak']"
fruit,['meyve']
fry,['kızartmak']
fugitive,['kanun kaçağı']
full,"['dolu', 'tamamen']"
full stop,['nokta']
fun,['eğlence']
fund,"['fon', 'kullanılabilir mali kaynak']"
fundamental,"['temel', 'önem', 'çok gerekli']"
funeral,['cenaze']
funny,"['komik', 'garip']"
fur,['kürk']
furnish,['döşemek']
further,['daha']
furthermore,"['yanında', 'ayrıca']"
fuse,['sigorta elektrik']
fuss,"['telaş', 'telaşlanmak']"
future,['gelecek']
gain,['kazanmak']
gallery,['galeri']
gamble,"['kumar oynamak', 'kumar']"
game,['oyun']
gang,['çete']
gaol,['hapishane']
gap,"['boşluk', 'fark']"
garage,['garaj']
garden,['bahçe']
garlic,['sarımsak']
gas,['gaz']
gate,['bahçe kapısı']
gather,"['toparlamak', 'toplanmak', 'anlamak']"
gay,"['mutlu', 'çok renkli', 'homo']"
gear,['vites']
general,['general']
generally,['genellikle']
generous,['cömert']
genius,['dahi']
gentle,['nazik']
gentleman,['centilmen']
germ,['mikrop']
get,"['almak', 'elde etmek', 'anlamak']"
ghost,"['hayalet', 'hortlak']"
gift,"['armağan', 'yetenek']"
gigolo,['jigolo']
ginger,"['zencefil', 'hafif kahverengi']"
gipsy,['çingene']
girl,['kız']
give,['vermek']
glad,['memnun']
gladly,['zevkle']
glass,"['cam', 'bardak']"
globe,"['küre', 'dünya']"
glorious,"['parlak', 'onurlu tarih']"
glory,"['onur', 'heyecan', 'güzellik']"
glove,['eldiven']
glue,['yapıştırıcı']
go,['gitmek']
goal,"['hedef', 'gaye', 'gol']"
goat,['keçi']
god,['tanrı']
gold,['altın']
golden,['altından']
goldfish,['akvaryum balığı']
good,"['iyi', 'devamlı uzun periyot ']"
good-looking,"['iyi görünümlü', 'yakışıklı']"
goose,['kaz']
gosh,['hayret']
gossip,['dedikodu']
govern,"['yönetmek', 'hükmetmek']"
government,['hükümet']
graduate,['mezun']
grain,"['tanecik', 'buğday ']"
grand,"['büyük', 'zevkli']"
grape,['üzüm']
grapefruit,['greyfurt']
grasp,['sıkıca tutmak']
grass,"['çim', 'çayır', 'ihbar etmek']"
grateful,['minnettar']
grave,"['mezar', 'kötü', 'önemli']"
gravestone,['mezartaşı']
graveyard,"['mezarlık', 'mezar']"
great,"['büyük', 'çok', 'çok iyi']"
green,"['yeşil', 'tecrübesiz', 'toy']"
greengrocer,['manav']
greeting,['kutlama']
grey,['gri']
grill,['gril']
grip,['sıkıca tutmak']
grocer,['bakkal']
groom,['damat']
ground,"['yer', 'toprak']"
group,"['gurup', 'topluluk']"
grow,"['büyümek', 'yetişmek']"
grumble,"['sızlanmak', 'yakınmak']"
guarantee,['garanti']
guard,['korumak']
guerrilla,['gerilla']
guess,['tahmin etmek']
guest,['konuk']
guide,"['rehber', 'rehberlik etmek']"
guided missile,['güdümlü roket']
guilt,"['suç', 'kabahat']"
guitar,['gitar']
gulf,['körfez']
gum,"['yapışkan', 'diş eti']"
gun,['silah']
guy,['adam']
habit,['alışkanlık']
habitat,['doğal yuva']
hail,['dolu yağış']
hair,"['saç', 'hayvan tüyü']"
hairdresser,"['kuaför', 'berber']"
hairdryer,['saç kurutma makinası']
half,['yarım']
hall,['hol']
halt,['dur']
hammer,"['çekiç', 'çekiçlemek']"
hand,['el']
hand grenade,['el bombası']
handbag,['el çantası']
handicap,['sakat']
handkerchief,['mendil']
handle,"['tutacak', 'işlemek', 'ele almak']"
handsome,['yakışıklı']
handwriting,['el yazısı']
hang,['asmak']
hang on,['bekle']
hangar,['hangar']
happen,['olmak']
happy,['mutlu']
harbour,['liman']
hard,"['sert', 'zor', 'katı']"
hardly,"['zorla', 'iyi değil']"
harm,"['zarar', 'kötülük']"
harmful,['zararlı']
harvest,['hasat']
haste,"['hız', 'acele']"
hat,['şapka']
hate,['nefret']
have,['sahip olmak']
hawk,"['atmaca', 'el arabasıyla satmak', 'seyyar satıcılık']"
hazard,"['tehlike', 'risk']"
head,"['baş', 'kafa']"
head quarters,"['merkez', 'karargah']"
headache,['baş ağrısı']
headline,['manşet']
headphone,['kulaklık']
health,['sağlık']
healthy,['sağlıklı']
hear,['duymak']
heart,"['kalp', 'kalp sembollü iskabil kağıdı']"
heat,['ısı']
heater,['ısıtıcı']
heaven,['cennet']
heavy,['ağır']
hectare,['hektar']
heel,['topuk']
height,['yükseklik']
heir,['mirasçı']
hell,['cehennem']
help,"['yardım', 'yardım etmek']"
hen,"['dişi kuş', 'piliç']"
here,"['burası', 'burada', 'buraya']"
heritage,['miras']
hero,['kahraman']
hesitate,"['duraksamak', 'tereddüt etmek']"
hiccup,['hıçkırık']
hide,"['saklanmak', 'saklamak']"
high,['yüksek']
hijack,"['korsanlık yapmak', 'araba']"
hijacker,"['korsan', 'eşkıya']"
hill,"['tepe', 'yokuş']"
hinge,"['menteşe', 'dayanak', 'esas']"
hire,['taşınabilir şeyleri kiralamak']
history,['tarih']
hit,"['darbe', 'çarpmak', 'popüler hit']"
hitch-hike,['otostop yapmak']
hobby,['hobi']
hold,"['tutmak', 'kavramak']"
hold on,['bekle']
hole,['delik']
holiday,['tatil günü']
hollow,['boş bir cismin arkası']
holy,['kutsal']
home,"['ev', 'yuva']"
homesick,['sıla hasreti']
honest,['dürüst']
honey,['bal']
honeymoon,['balayı']
honour,['onur']
hook,"['çengel', 'kanca']"
hop,"['sıçramak', 'zıplamak', 'sekmek']"
hope,['umut']
hopeless,['umutsuz']
horizon,['ufuk']
horizontal,['yatay']
horn,"['boynuz', 'korna']"
horrible,['korkunç']
horse,['at']
hose,['hortum']
hospital,['hastane']
host,['konuğu olan ev sahibi']
hostage,"['esir', 'rehine']"
hostel,"['öğrenci', 'konaklama yeri']"
hot,"['sıcak', 'yemeğin acısı']"
hotel,['otel']
hour,['saat']
hourly,['saat başı']
house,['ev']
housewife,['ev hanımı']
hover,['havada kalmak']
how,['nasıl']
however,['her şekilde']
hubbub,['gürültü']
hug,"['sarılmak', 'kucaklamak']"
huge,['çok büyük']
hum,"['vızıldamak', 'mırıldanmak']"
human,"['insan', 'beşeri']"
humble,['alçak gönüllü']
humour,"['güldürü', 'mizah']"
hungry,['aç']
hunt,['avlamak']
hurry,['acele etmek']
hurt,"['yaralamak', 'yaralanmak']"
husband,"['koca', 'erkek eş']"
hush,"['sakinlik', 'sessizlik', 'sus']"
hut,"['kulübe', 'baraka']"
ice,['buz']
ice-cream,['dondurma']
icy,"['çok soğuk', 'buzlu']"
idea,['fikir']
ideal,"['yetkin', 'ideal']"
identical,"['özdeş', 'çok benzeyen', 'aynı']"
identify,"['belirlemek', 'tanımlamak']"
idiot,['aptal']
idle,"['atıl', 'boş']"
if,['eğer']
ignition,"['tutuşma', 'kontak', 'ateşleme']"
ignore,['önemsememek']
ill,"['hasta', 'hastalık']"
illegal,['kanunsuz']
illustrate,['resimle göstermek']
image,"['hayal', 'imaj']"
imagination,"['tasavvur', 'hayal']"
imagine,['hayal etmek']
imitate,"['örnek almak', 'taklit etmek']"
imitation,['taklit']
immediate,"['anında', 'derhal']"
immense,['çok büyük']
immigrate,['göçmen']
immoral,"['ahlaksız', 'edepsiz']"
impair,['bozmak']
impatient,['sabırsız']
implement,"['yürürlüğe koymak', 'alet']"
imply,['ima etme']
impolite,"['kaba', 'nazik değil']"
import,['ithal etmek']
importance,['önem']
important,['önemli']
impossible,['olanaksız']
impress,['etkilemek']
impression,['etki']
impressive,"['etkili', 'etkileyici']"
improve,"['gelişmek', 'iyiye gitmek']"
improvement,['gelişme']
in,['içinde']
in order to,"['amacıyla', 'maksadıyla']"
incentive,['teşvik']
incident,['önemsiz olay']
incidentally,"['bu arada', 'tesadüfen']"
include,['kapsamak']
income,['gelir']
incorrect,"['hatalı', 'yanlış']"
increase,['artmak']
incredible,"['inanılmaz', 'büyüleyici']"
indeed,['gerçekten']
indefinite,['belirsiz']
indefinitely,"['sonsuz', 'süresiz']"
indemnify,"['tazminat ödemek', 'söz vermek', 'zararı karşılamak']"
indemnity,['tazminat']
independent,['bağımsız']
index,['index']
indicate,"['göstermek', 'işaret etmek']"
individual,"['bireysel', 'fert', 'özel']"
indoor,"['ev içinde', 'içerde']"
indorse,"['ciro etmek', 'onaylamak']"
industry,['endüstri']
inevitable,"['kaçinilmaz', 'herhalde olan']"
inferior,['aşağılık']
infinite,['sonsuz']
inflammable,['ateş alabilir']
inflate,['şişmek']
inflation,['enflasyon']
inflexible,"['eğilmesi zor', 'bükülmez', 'inatçi']"
influence,"['etki', 'etkilemek']"
inform,['bilgi vermek']
informal,"['resmi olmayan', 'gayrı resmi']"
information,"['bilgi', 'enformasyon']"
initial,"['ilk harf', 'birinci', 'baştaki']"
initiative,"['ilk hareket', 'başlatma', 'inisiyatif']"
inject,['şırınga yapmak']
injure,['incitmek']
ink,['mürekkep']
inn,"['han', 'motel']"
innocent,"['suçsuz', 'masum']"
inquire,['araştırmak']
inquiry,['soru']
insect,['böcek']
insecure,['emniyetsiz']
inside,['içerisi']
insist,['ısrar etmek']
insolvent,['müflis']
inspect,['incelemek']
inspector,['müfettiş']
inspire,"['esinleme', 'ilham gelmesi', 'empoze etmek']"
install,['yerleştirmek']
instance,['örnek']
instant,"['hizli', 'derhal']"
instead of,['yerine']
institute,"['enstitü', 'kuruluş']"
instruction,"['yönerge', 'talimat']"
instrument,['enstrüman']
insu lt,"['hakaret etme', 'onur kirma']"
insulate,['izole etmek']
intangible,"['manevi', 'maddi olmayan', 'varlik']"
intelligent,['zeki']
intend,"['planlamak', 'maksat', 'niyet']"
intense,"['derin üzüntü', 'güçlü duygu']"
intensive,['yoğun']
intention,['plan']
interest,"['ilgi duymak', 'faiz']"
interesting,['ilginç']
interfere,"['karışma müdahele etme', 'yayındaki parazit']"
intermediate,['arada']
international,['uluslararası']
interpret,"['çeviri', 'yorumlamak']"
interrupt,"['durdurmak', 'araya girmek']"
interval,"['aralık', 'ara']"
interview,"['röportaj', 'görüşme']"
intestines,['bağırsaklar']
into,['içine']
introduce,['tanıştırmak']
invade,['istila etmek']
invalid,['geçersiz']
invent,"['icat etmek', 'yaratmak']"
invest,['yatırım yapmak']
investigate,"['araştırma yapmak', 'çalışmak']"
invite,['davet etmek']
invoice,['fatura']
involve,"['içermek', 'karışmak', 'gerektirmek']"
iron,"['demir', 'ütü']"
ironically,"['tam aksi olma', 'ironik']"
irregular,['düzensiz']
irritate,"['kızdırmak', 'sinirlendirmek', 'tahriş']"
island,['ada']
issue,"['baskı', 'konu', 'vermek']"
it,['cansız işaret']
itch,['kaşınma']
item,['birim']
jack,"['kriko', 'vale iskambil kağıdı', 'torpil yaptırmak']"
jackal,['çakal']
jacket,['ceket']
jaguar,['jaguar']
jail,['hapis']
jam,"['reçel', 'sıkışıklık']"
january,['ocak ayı ']
jar,['kavanoz']
jaw,"['çene kemiği', 'çene çalmak', 'konuşmak']"
jazz,['caz']
jealous,['kıskanç']
jeans,"['jin', 'kot pantolon']"
jelly,['jöle']
jellyfish,"['denizanası', 'medüs', 'su medüsü']"
jet,"['jet', 'fışkırmak']"
jewel,['mücevher']
job,['iş']
jockey,['cokey']
join,"['birleştirmek', 'birleşmek']"
joint,['birleşik']
joke,['şaka']
jolly,['çok']
journal,"['gazete', 'dergi']"
journalist,['gazeteci']
journey,['yolculuk']
joy,"['mutluluk', 'eğlence']"
jubilee,['jübile']
judge,"['hakim', 'yargılamak']"
judgement,['yargı']
juice,['su meyve suyu ']
july,['temmuz']
jump,"['sıçramak', 'atlamak']"
june,['haziran']
jury,['jüri']
just,"['yalnız', 'hemen şimdi']"
justice,['adalet']
keen,['keskin']
keen on,['hoşlanmak']
keep,"['korumak', 'tutmak', 'devam etmek']"
ketchup,['ketçap']
key,['anahtar']
kick,"['tekme', 'tekmelemek']"
kid,"['çocuk', 'dalga geçmek', 'genç keçi']"
kidnap,['zorla kaçırmak']
kidney,['böbrek']
kill,['öldürmek']
kin,"['aile', 'akraba']"
kind,"['nazik', 'tür']"
king,['kral']
kingdom,['krallık']
kiss,"['öpücük', 'öpmek']"
kitchen,['mutfak']
knee,"['diz', 'diz çökmek']"
knife,['bıçak']
knight,"['silahşör', 'şovalye', 'satrançta at']"
knob,"['tokmak', 'tutacak']"
knock,['bir şeye vurmak']
knot,"['düğüm', 'düğüm atmak']"
know,['bilmek']
knowledge,['bilgi']
label,['etiket']
laboratory,['laboratuvar']
labour,"['el işi', 'işgücü']"
lack,['eksiklik']
ladder,['merdiven']
ladle,['kepçe yemek']
lady,['hanımefendi']
lake,['göl']
lamb,"['kuzu', 'kuzu', 'koyun eti']"
lame,['topal']
lamp,['lamba']
lamppost,['sokak lambası']
lampshade,['abajur']
land,"['kara', 'arazi']"
landlady,['ev sahibi']
lane,"['dar yol', 'yolun şeridi']"
language,['lisan']
large,['geniş']
lash,"['kamçı', 'birşeyi ani ve hızlı sallamak']"
last,"['son', 'sonunda', 'geçmiş']"
late,"['geç', 'sonu']"
laugh,['gülmek']
launch,"['birşeye başlamak', 'roket fırlatmak']"
laundry,"['yıkanacak çamaşır', 'çamaşırhane']"
laundrybasket,['çamaşır sepeti']
lavatory,['tuvalet']
law,"['yasa', 'kanun']"
lawful,['yasal']
lawyer,['avukat']
lay,"['koymak', 'yatırmak']"
lazy,['tembel']
lead,"['kurşun metali', 'kurşun kalem ucu']"
leader,"['önder', 'lider']"
leadership,['önderlik']
leaf,['yaprak']
league,"['birlik', 'lig']"
leak,"['akıntı', 'sızmak']"
lean,"['ince', 'yağsız', 'eğilmek']"
learn,['öğrenmek']
lease,['bir süre kiralama']
least,['en az']
leather,['deri']
leave,['terk etmek']
lecture,"['ders', 'konferans vermek']"
left,"['sol', 'kalan']"
leg,['bacak']
legacy,['miras']
legal,['yasal']
lemon,['limon']
lend,['ödünç vermek']
length,['uzunluk']
lens,['lens']
less,['daha az']
lesson,['ders']
let,['bırakmak']
letter,"['mektup', 'harf']"
letter box,['mektupluk']
lettuce,"['salata', 'kıvırcık']"
level,"['düzey', 'seviye']"
lever,"['kaldıraç', 'manivala']"
liar,['yalancı']
liberal,['liberal']
liberty,['serbest olmak']
library,"['kitaplık', 'kütüphane']"
licence,['lisans ehliyet ']
lick,['yalamak']
lid,['kapak']
lie,"['yalan', 'yalan söylemek']"
life,"['yaşam', 'hayat']"
lift,"['asansör', 'yukarı kaldırmak']"
light,"['ışık', 'açık renk', 'hafif']"
lighter,['çakmak']
like,"['hoşlanmak', 'gibi']"
likely,['muhtemelen']
limit,"['hat', 'sınır', 'limit']"
line,"['çizgi', 'satır', 'sıra']"
link,['birleştirmek']
lip,['dudak']
liquid,['sıvı']
liquidate,"['tasfiye etmek', 'kapatmak', 'kurtulmak']"
list,['liste']
listen,['dinlemek']
literature,['edebiyat']
litter,"['çöp', 'dağınıklık']"
little,['küçük']
live,['canlı']
liver,['karaciğer']
lives,['yaşamlar']
living,['yaşam biçimi']
load,"['yük', 'yüklemek', 'silah doldurmak']"
loaf,"['bütün ekmek', 'vakti boşa geçirmek']"
